uid,left_actor_id,left_actor_name,<->,right_actor_id,right_actor_name,weight
nm11188079__nm9847969,nm11188079,David Hines,<->,nm9847969,Sai Kiran Rangu,1
nm8333553__nm9847969,nm8333553,Amaru Davis,<->,nm9847969,Sai Kiran Rangu,1
nm11188079__nm8333553,nm11188079,David Hines,<->,nm8333553,Amaru Davis,1
nm0568399__nm10249043,nm0568399,Hayley McElhinney,<->,nm10249043,Andrew Luri,1
nm10249043__nm2214435,nm10249043,Andrew Luri,<->,nm2214435,Bolude Watson,1
nm0568399__nm2214435,nm0568399,Hayley McElhinney,<->,nm2214435,Bolude Watson,1
nm0149835__nm7700946,nm0149835,J.D. Chakravarthi,<->,nm7700946,MD Asif,1
nm1522234__nm6226780,nm1522234,Niki Walia,<->,nm6226780,Rishab Chadha,1
nm0741988__nm4770241,nm0741988,Jesse Rosen,<->,nm4770241,Sean Carmichael,1
nm0741988__nm7377099,nm0741988,Jesse Rosen,<->,nm7377099,Erin Rose,1
nm4770241__nm7377099,nm4770241,Sean Carmichael,<->,nm7377099,Erin Rose,1
nm6922643__nm7544695,nm6922643,Chelsea Jurkiewicz,<->,nm7544695,Anton Clark,1
nm2081413__nm3256888,nm2081413,David Curington,<->,nm3256888,Leviticus Davis,1
nm2081413__nm8388842,nm2081413,David Curington,<->,nm8388842,Kai Lin,1
nm3256888__nm8388842,nm3256888,Leviticus Davis,<->,nm8388842,Kai Lin,1
nm0415529__nm3093026,nm0415529,Sakina Jaffrey,<->,nm3093026,Damon Daunno,1
nm0029342__nm0303442,nm0029342,Emy Aneke,<->,nm0303442,Anna Galvin,1
nm6722020__nm9990107,nm6722020,Jake Lomeli,<->,nm9990107,Rigo Chavez,1
nm9990107__nm9990108,nm9990107,Rigo Chavez,<->,nm9990108,Anto Vivar,1
nm2615445__nm9990107,nm2615445,Elias Hernandez,<->,nm9990107,Rigo Chavez,1
nm9990107__nm9990519,nm9990107,Rigo Chavez,<->,nm9990519,Tony Gomez,1
nm6722020__nm9990108,nm6722020,Jake Lomeli,<->,nm9990108,Anto Vivar,1
nm1518465__nm7192806,nm1518465,Nikki Dixon,<->,nm7192806,Allen Cummins,1
nm2615445__nm9990519,nm2615445,Elias Hernandez,<->,nm9990519,Tony Gomez,1
nm1335173__nm7330929,nm1335173,Benjamin A. Onyango,<->,nm7330929,Diallo Thompson,1
nm4623014__nm7330929,nm4623014,Natalia Dominguez,<->,nm7330929,Diallo Thompson,1
nm1335173__nm4623014,nm1335173,Benjamin A. Onyango,<->,nm4623014,Natalia Dominguez,1
nm10091998__nm1861527,nm10091998,Lakshmika Sajeevan,<->,nm1861527,Ajaykumar,1
nm1861527__nm7848050,nm1861527,Ajaykumar,<->,nm7848050,Gokul Suresh,1
nm10091998__nm7848050,nm10091998,Lakshmika Sajeevan,<->,nm7848050,Gokul Suresh,1
nm6997839__nm9060226,nm6997839,Manal Issa,<->,nm9060226,Nathalie Issa,1
