actor_id,actor_name
nm0000401,Laurence Fishburne
nm0002138,Gregory Hines
nm0151033,Michael Paul Chan
nm0001541,Kylie Minogue
nm0578853,Ben Mendelsohn
nm0528539,Simon Lyndon
nm0569790,Douglas McGrath
nm0002117,Paul Guilfoyle
nm0000470,Jeffrey Jones
nm0001057,Toni Collette
nm0185819,Daniel Craig
nm0001020,Katrin Cartlidge
nm0867017,Stephen Tompkinson
nm0005269,Corin Nemec
nm0004910,David Faustino
nm0364583,Danielle Harris
nm0444629,Caroline Keenan
nm0331054,Cliff Gorman
nm0138388,Julie Carmen
nm0000604,John C. Reilly
nm0429240,Shawnee Free Jones
nm0001025,Seymour Cassel
nm0001419,Sally Kellerman
nm0267232,James Farentino
nm0040015,Mackenzie Astin
nm0000539,Dina Meyer
nm0906031,Natasha Gregson Wagner
nm0048932,Simon Baker
nm0295484,Anna Friel
nm0001763,Nick Stahl
nm0168262,Rory Cochrane
nm0108287,Jordana Brewster
nm0001172,Christopher Eccleston
nm0001100,Blythe Danner
nm0000163,Dustin Hoffman
nm0000215,Susan Sarandon
nm0006952,Alexia Landeau
nm0261170,Jennifer Esposito
nm0602941,Nick Moran
nm0002332,Stephen Lang
nm0205657,William B. Davis
nm0039435,Luke Askew
nm0948267,Dwight Yoakam
nm0000681,Vince Vaughn
nm0122653,Edward Burns
nm0001288,Kelsey Grammer
nm0000984,Avery Brooks
nm0824150,Rick Stear
nm0786085,Ed Setrakian
nm0195844,Joseph D'Onofrio
nm0876958,Paige Turco
nm0331319,Frank Gorshin
nm0485548,Scott Edmund Lane
nm0698998,David Proval
nm0000276,Sean Astin
nm0132257,Bruce Campbell
nm0005078,Stacy Keach
nm0877888,Suzanne Turner
nm0001530,William McNamara
nm0005010,Lori Heuring
nm0000871,Randall Batinkoff
nm0001642,Randy Quaid
nm0206257,Rosario Dawson
nm0000323,Michael Caine
nm0000995,Ellen Burstyn
nm0000124,Jennifer Connelly
nm0001099,Jeff Daniels
nm0696193,Harve Presnell
nm0017020,Joey Albright
nm0202795,Wayne David Parker
nm0001368,Ernie Hudson
nm0000739,Debbie Allen
nm0712675,Lou Rawls
nm0788009,Garry Shandling
nm0000906,Annette Bening
nm0001487,John Lynch
nm0000846,Ian Bannen
nm0283492,Jerome Flynn
nm0000125,Sean Connery
nm0114532,Rob Brown
nm0000719,F. Murray Abraham
nm0001593,Anna Paquin
nm0608090,Samantha Morton
nm0001884,Max von Sydow
nm0001383,David Hyde Pierce
nm0005275,Brandy Norwood
nm0000507,Rob Lowe
nm0108295,Paget Brewster
nm0480465,Jordan Ladd
nm0000216,Arnold Schwarzenegger
nm0518085,Kristanna Loken
nm0000132,Claire Danes
nm0000140,Michael Douglas
nm0001125,Benicio Del Toro
nm0889846,Jacob Vargas
nm0297578,Patrick Fugit
nm0000531,Frances McDormand
nm0000610,Giovanni Ribisi
nm0000505,Nia Long
nm0441588,Nicky Katt
nm0272173,Colm Feore
nm0005174,Ann Magnuson
nm0028319,Damir Andrei
nm0188923,Sunda Croonquist
nm0168387,Brad Grunberg
nm0000555,Judd Nelson
nm0000224,Alicia Silverstone
nm0491590,Ed Lauter
nm0338886,Peter Greene
nm0584049,Justine Miceli
nm0559817,Charlie Mattera
nm0000336,James Coburn
nm0541908,Costas Mandylor
nm0001370,Finola Hughes
nm0405033,Alex Hyde-White
nm0687625,Glenn Plummer
nm0005024,Terrence Howard
nm0427793,Clyde Risley Jones
nm0671922,Charles R. Penland
nm0026364,Anthony Anderson
nm0115236,Mongo Brownlee
nm0000209,Tim Robbins
nm0000332,Don Cheadle
nm0193661,Sinéad Cusack
nm0628563,Matthew Newton
nm0126284,Rose Byrne
nm0000475,Patsy Kensit
nm0000328,Richard Chamberlain
nm0727850,Daniel Riordan
nm0001845,Forest Whitaker
nm0000438,Ed Harris
nm0001315,Marcia Gay Harden
nm0461446,Robert Knott
nm0716452,Molly Regan
nm0005132,Heath Ledger
nm0815370,Shannyn Sossamon
nm0000498,Matthew Lillard
nm0000420,Valeria Golino
nm0095478,Mark Boone Junior
nm0618651,Samy Naceri
nm0225899,Frédéric Diefenthal
nm0803558,Emma Wiklund
nm0182839,Marion Cotillard
nm0663503,Mariam Parris
nm0010050,David Ackert
nm0869467,Shaun Toub
nm0013037,Shohreh Aghdashloo
nm0001616,Mekhi Phifer
nm0005466,Julia Stiles
nm0000640,Martin Sheen
nm0001326,Josh Hartnett
nm0289656,James Frain
nm0000329,Jackie Chan
nm0581266,Brandon Merrill
nm0000331,Chevy Chase
nm0916406,Mark Webber
nm0004922,Schuyler Fisk
nm0254402,Chris Elliott
nm0525921,Joanna Lumley
nm0220635,Debi Derryberry
nm0000375,Robert Downey Jr.
nm0000237,John Travolta
nm0001608,Barry Pepper
nm0167649,Kim Coates
nm0001191,Adam Sandler
nm0000099,Patricia Arquette
nm0406975,Rhys Ifans
nm0000541,Bette Midler
nm0000130,Jamie Lee Curtis
nm0000598,Dennis Quaid
nm0001029,Jim Caviezel
nm0236495,Shawn Doyle
nm0593310,Elizabeth Mitchell
nm0001701,Devon Sawa
nm0000270,Gabrielle Anwar
nm0859197,Marcus Thomas
nm0000435,Daryl Hannah
nm0000592,Pete Postlethwaite
nm0001298,Richard Grieco
nm0001048,Andrew Dice Clay
nm0004904,Angie Everhart
nm0004897,John Enos III
nm0001655,Lynn Redgrave
nm0792177,Jamey Sheridan
nm0001065,Harry Connick Jr.
nm0000340,Cindy Crawford
nm0000142,Clint Eastwood
nm0001258,James Garner
nm0005448,Marla Sokoloff
nm0313534,Melissa George
nm0002546,Mena Suvari
nm0047248,Eion Bailey
nm0004753,Leslie Bibb
nm0249962,Edward Edwards
nm0005327,Freddie Prinze Jr.
nm0004999,Shawn Hatosy
nm0000613,Joely Richardson
nm0005042,Jason Isaacs
nm0569990,Jane McGregor
nm0571106,Michael McKean
nm0285913,Trent Ford
nm0001213,Harvey Fierstein
nm0486728,Brooke Langton
nm0301959,Johnny Galecki
nm0001434,Kris Kristofferson
nm0007237,Leonor Varela
nm0000287,William Baldwin
nm0049190,Brigitte Bako
nm0000516,Lee Majors
nm0144753,Vincent Castellanos
nm0502425,Melissa Leo
nm0870794,Sam Trammell
nm0924003,David Wheir
nm0669126,Stephen Pearlman
nm0001231,Claire Forlani
nm0072768,Fabrizio Bentivoglio
nm0000273,Alan Arkin
nm0341737,Rachel Griffiths
nm0000596,Jonathan Pryce
nm0722629,Matthew Rhys
nm0544691,Maria del Mar
nm0781218,Jon Seda
nm0001993,Vincent Cassel
nm0440913,Mathieu Kassovitz
nm0000606,Jean Reno
nm0002010,Christian Clavier
nm0743671,Matt Ross
nm0367102,Mark Belasco
nm4491697,Darrin Browne
nm2689366,Stephen Sherman
nm0922995,Michael Weston
nm0004968,Jaime Gomez
nm0520203,Seidy Lopez
nm0002090,Zach Galligan
nm0934569,Troy Winbush
nm0000518,John Malkovich
nm0001424,Udo Kier
nm0000144,Cary Elwes
nm0488561,Catalina Larranaga
nm0426547,Bobby Johnston
nm0216242,Shyra Deland
nm0715529,Kira Reed Lorsch
nm0000246,Bruce Willis
nm0001612,Matthew Perry
nm0000275,Rosanna Arquette
nm0000460,Jeremy Irons
nm0572721,Zoe McLellan
nm0625789,Tim Blake Nelson
nm0001863,Kari Wuhrer
nm0068382,Marshall Bell
nm0000235,Uma Thurman
nm0002103,Julian Glover
nm0000563,Chris O'Donnell
nm0001314,John Hannah
nm0412850,Eddie Izzard
nm0004875,Taye Diggs
nm0000663,Dominique Swain
nm0000477,Mia Kirshner
nm0005243,Meredith Monroe
nm0000421,Cuba Gooding Jr.
nm0461498,Beyoncé
nm0258402,Mike Epps
nm1328870,Nigel Washington
nm0063440,Adam Beach
nm0001638,Jürgen Prochnow
nm0000535,Rose McGowan
nm0719678,Callum Keith Rennie
nm0000206,Keanu Reeves
nm0428963,Orlando Jones
nm0922035,Dominic West
nm0001610,Elizabeth Perkins
nm0187224,Charlie Creed-Miles
nm0590340,Gareth Milne
nm0005094,Alex Kingston
nm0005292,Erik Palladino
nm0005351,Ryan Reynolds
nm0005231,Dash Mihok
nm0005318,Carly Pope
nm0004936,Ben Foster
nm0756089,Melissa Sagemiller
nm0005437,Sisqó
